Artist_and_Track_Name,Germany_Streams,Position
Ed Sheeran - Shape of You,97689020,1
French Montana - Unforgettable,54247500,2
Axwell /\ Ingrosso - More Than You Know,54124456,3
Bausa - Was Du Liebe nennst,51699927,4
Luis Fonsi - Despacito - Remix,50855083,5
Imagine Dragons - Thunder,48323173,6
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),47742974,7
The Chainsmokers - Something Just Like This,44886062,8
Bonez MC - Ohne mein Team,43381073,9
Luis Fonsi - Despacito (Featuring Daddy Yankee),42735504,10
Burak Yeter - Tuesday,42607506,11
Ed Sheeran - Galway Girl,41882140,12
Kygo - It Ain't Me (with Selena Gomez),41772802,13
Robin Schulz - OK,41730259,14
Martin Jensen - Solo Dance,41665090,15
Post Malone - rockstar,41590548,16
Jonas Blue - Mama,40118505,17
Camila Cabello - Havana,37882377,18
J Balvin - Mi Gente,36945113,19
Jax Jones - You Don't Know Me - Radio Edit,36639004,20
Nimo - Heute mit mir,36615067,21
The Chainsmokers - Paris,36429404,22
Shawn Mendes - There's Nothing Holdin' Me Back,35573544,23
Charlie Puth - Attention,35281394,24
Liam Payne - Strip That Down,34973664,25
Dua Lipa - New Rules,34590960,26
Imagine Dragons - Believer,34326675,27
Starley - Call On Me - Ryan Riback Extended Remix,34224165,28
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",33772189,29
DJ Khaled - I'm the One,33675139,30
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,33188103,31
Martin Garrix - Scared to Be Lonely,32903156,32
Zuna - Nummer 1,32675416,33
Lauv - I Like Me Better,32252986,34
Clean Bandit - Symphony (feat. Zara Larsson),32032481,35
Future - Mask Off,31069433,36
Marshmello - Silence,31055363,37
DJ Khaled - Wild Thoughts,30529538,38
Gestört aber GeiL - Wohin willst du,30151750,39
Ed Sheeran - Castle on the Hill,29779783,40
Miami Yacine - Bon Voyage,29394813,41
Rita Ora - Your Song,29023864,42
Zedd - Stay (with Alessia Cara),28931116,43
Capo - Lambo Diablo GT (feat. Nimo),28302044,44
RAF Camora - Kontrollieren,28061715,45
Ed Sheeran - Perfect,28043900,46
Macklemore - Glorious (feat. Skylar Grey),27991368,47
Felix Jaehn - Hot2Touch,27867978,48
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),27579625,49
RAF Camora - Primo,27318313,50
David Guetta - 2U (feat. Justin Bieber),27178169,51
ZAYN - Dusk Till Dawn - Radio Edit,26995817,52
AJR - Weak,26175175,53
RIN - Bros,25971415,54
Bonez MC - Palmen aus Plastik,25878461,55
Kay One - Senorita,25588026,56
Alice Merton - No Roots,25533167,57
KC Rebell - Murcielago,25008117,58
Enrique Iglesias - SUBEME LA RADIO,24929060,59
Kurdo - Ya Salam,24884039,60
Ufo361 - Nice Girl 2.0,24757056,61
Kendrick Lamar - HUMBLE.,24646647,62
187 Strassenbande - Millionär,23821406,63
RIN - Monica Bellucci,23657776,64
Justin Bieber - Friends (with BloodPop®),23555217,65
Jon Bellion - All Time Low,23179172,66
Maître Gims - Loin - Pilule Violette,22537233,67
Miami Yacine - Kokaina,21803947,68
Julia Michaels - Issues,21650644,69
NF - Let You Down,21412894,70
Lil Uzi Vert - XO TOUR Llif3,21237910,71
Alle Farben - Little Hollywood,20965891,72
Maroon 5 - What Lovers Do (feat. SZA),20781420,73
Micar - Burden Down,20654639,74
Veysel - Kleiner Cabrón,20503726,75
Bonez MC - An ihnen vorbei,20200084,76
Robin Schulz - Shed a Light,20086534,77
Kay One - Louis Louis,19619666,78
Martin Garrix - There for You,19560521,79
Trettmann - Knöcheltief,19519858,80
Post Malone - Congratulations,19426345,81
Calvin Harris - Feels,19359701,82
Alan Walker - Alone,19345113,83
Ofenbach - Be Mine,19340340,84
Logic - 1-800-273-8255,19000870,85
ItaloBrothers - Summer Air,18881982,86
The Chainsmokers - Closer,18787297,87
Cheat Codes - No Promises (feat. Demi Lovato),18760624,88
Galantis - Hunter,18683299,89
Sage The Gemini - Now and Later,18354730,90
P!nk - What About Us,18118333,91
Mark Forster - Chöre,17866990,92
Avicii - Without You (feat. Sandro Cavazza),17767893,93
Cro - Unendlichkeit,17711838,94
Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),17625471,95
Luke Christopher - Lot to Learn,17591147,96
Kollegah - Zieh' den Rucksack aus,17378110,97
Kygo - Stargazing,16842432,98
Portugal. The Man - Feel It Still,16842009,99
James Arthur - Say You Won't Let Go,16758738,100
Calvin Harris - Slide,16730266,101
Capital Bra - Olé Olé,16730073,102
Sean Paul - No Lie,16626447,103
"Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",16564395,104
Maxwell - Safari,16465888,105
Mark Forster - Sowieso - Radio Version,16397137,106
Alle Farben - Bad Ideas,16341061,107
Avicii - Lonely Together (feat. Rita Ora),16038881,108
Zuna - Wieso?,15974459,109
Shakira - Chantaje,15907597,110
Selena Gomez - Wolves,15898632,111
The Weeknd - Starboy,15880248,112
KC Rebell - Nicht jetzt,15759935,113
187 Strassenbande - Mit den Jungz,15748257,114
Vice - Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),15565374,115
Capital Bra - Nur noch Gucci,15409317,116
The Vamps - All Night,15373124,117
Nimo - LFR,15312016,118
Anne-Marie - Ciao Adios,15130211,119
Drake - One Dance,15044729,120
Kygo - First Time,15012929,121
Fake Pictures - Two Princes - Radio Mix,14991286,122
Taylor Swift - Look What You Made Me Do,14970388,123
Rag'n'Bone Man - Skin,14595170,124
Camila Cabello - Crying in the Club,14575464,125
Steve Aoki - Just Hold On,14560484,126
JP Cooper - September Song,14491890,127
Imagine Dragons - Whatever It Takes,14481093,128
ALMA - Chasing Highs,14455755,129
Kaleo - Way Down We Go,14444576,130
KC Rebell - iPhone 17 (feat. Moé),14388306,131
Nimo - Wie Falco,14258233,132
Katy Perry - Chained To The Rhythm,14134475,133
G-Eazy - Good Life (with G-Eazy & Kehlani),13870989,134
RAF Camora - Andere Liga,13678903,135
Martin Solveig - All Stars,13671719,136
Bonez MC - Palmen aus Gold,13594600,137
Drake - Passionfruit,13525059,138
Danny Ocean - Me Rehúso,13338359,139
OneRepublic - No Vacancy,13250861,140
Welshly Arms - Legendary,12841134,141
Kontra K - Soldaten 2.0,12718624,142
Eminem - Lose Yourself - Soundtrack Version,12646645,143
Demi Lovato - Sorry Not Sorry,12597970,144
Linkin Park - Heavy (feat. Kiiara),12479105,145
RAF Camora - Alles probiert,12440384,146
Bonez MC - Mörder,12366759,147
Ali Bumaye - Sex ohne Grund,12365195,148
Nico Santos - Rooftop,12268735,149
Bruno Mars - That's What I Like,12108870,150
Robin Schulz - I Believe I'm Fine,12080859,151
SXTN - Von Party zu Party,11900060,152
Jason Derulo - If I'm Lucky,11744396,153
Amanda - Blau,11627635,154
Dardan - Telefon,11626495,155
Felix Jaehn - Feel Good,11361874,156
The Chainsmokers - Don't Let Me Down,11327822,157
DJ Snake - Let Me Love You,11247856,158
Alessia Cara - Scars To Your Beautiful,11226932,159
Khalid - Young Dumb & Broke,11046062,160
Petit Biscuit - Sunset Lover,10938665,161
Alok - Hear Me Now,10886720,162
Kontra K - Mehr als ein Job,10816667,163
Miley Cyrus - Malibu,10664678,164
Lorde - Green Light,10649621,165
Bushido - Papa,10488529,166
Sia - Never Give Up,10480366,167
Big Shaq - Man's Not Hot,10457282,168
"Alessia Cara - How Far I'll Go - From ""Moana""",10427617,169
Lil Pump - Gucci Gang,10394638,170
Harry Styles - Sign of the Times,10383230,171
Maroon 5 - Cold,10374849,172
Gzuz - 10 Jahre,10268497,173
Linkin Park - In The End,10248369,174
Dimitri Vegas & Like Mike - Complicated (feat. Kiiara),10195099,175
Mariah Carey - All I Want for Christmas Is You,10190303,176
Martin Solveig - Places,10105931,177
Adel Tawil - Ist da jemand,9910709,178
The Weeknd - I Feel It Coming,9865753,179
Kollegah - Gamechanger,9862895,180
Niall Horan - Slow Hands,9812807,181
Kollegah - Sturmmaske Auf [Intro],9724742,182
Milky Chance - Cocoon,9711157,183
Trettmann - Gottseidank,9668451,184
Eminem - 'Till I Collapse,9659981,185
Alan Walker - Tired,9581114,186
Kontra K - Diamanten,9472083,187
Sam Smith - Too Good At Goodbyes,9301125,188
AK Ausserkontrolle - Jim Beam & Voddi,9289662,189
Capital Bra - Na Na Na,9264649,190
Dimitri Vegas & Like Mike - Hey Baby,9260553,191
Eminem - River (feat. Ed Sheeran),9221581,192
Sigala - Came Here for Love,9193465,193
Adel Tawil - Bis hier und noch weiter,9165857,194
Shawn Mendes - Mercy,9139656,195
Regi - Should Have Been There,9120260,196
G-Eazy - Him & I (with Halsey),9106153,197
Luciano - Jäger,9044389,198
Shawn Mendes - Treat You Better,8892489,199
Ufo361 - Der Pate,8823861,200
Selena Gomez - Bad Liar,8797533,201
Jax Jones - Instruction (feat. Demi Lovato & Stefflon Don),8732963,202
Rag'n'Bone Man - Human,8616215,203
Mike Perry - The Ocean,8564622,204
Chris Brown - Questions,8563677,205
Wham! - Last Christmas,8545828,206
OneRepublic - Rich Love (with Seeb),8464488,207
Rae Sremmurd - Black Beatles,8423435,208
Mert - Ajajaj,8411401,209
Louis Tomlinson - Back to You (feat. Bebe Rexha & Digital Farm Animals),8379742,210
Capo - Mon Chéri,8340764,211
