Artist_and_Track_Name,Lithuania_Streams,Position
Ed Sheeran - Shape of You,904314,1
Imagine Dragons - Thunder,439591,2
The Chainsmokers - Something Just Like This,422375,3
Imagine Dragons - Believer,403484,4
Kendrick Lamar - HUMBLE.,400471,5
Kygo - It Ain't Me (with Selena Gomez),391386,6
Luis Fonsi - Despacito - Remix,391058,7
French Montana - Unforgettable,376974,8
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",369101,9
Zedd - Stay (with Alessia Cara),347835,10
The Chainsmokers - Paris,344161,11
Julia Michaels - Issues,339895,12
Charlie Puth - Attention,334598,13
Axwell /\ Ingrosso - More Than You Know,324035,14
Shawn Mendes - There's Nothing Holdin' Me Back,311975,15
Clean Bandit - Symphony (feat. Zara Larsson),309683,16
Starley - Call On Me - Ryan Riback Extended Remix,306416,17
Calvin Harris - Slide,302182,18
Martin Jensen - Solo Dance,298269,19
Martin Garrix - Scared to Be Lonely,293252,20
Dua Lipa - New Rules,292313,21
Luis Fonsi - Despacito (Featuring Daddy Yankee),286888,22
Jonas Blue - Mama,278807,23
Post Malone - rockstar,263844,24
David Guetta - 2U (feat. Justin Bieber),262806,25
DJ Khaled - I'm the One,262484,26
Drake - Passionfruit,257346,27
Martin Garrix - There for You,255324,28
Liam Payne - Strip That Down,255037,29
Calvin Harris - Feels,253056,30
Lil Uzi Vert - XO TOUR Llif3,252127,31
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,243512,32
Cheat Codes - No Promises (feat. Demi Lovato),239318,33
Future - Mask Off,239174,34
The Weeknd - I Feel It Coming,238230,35
Ed Sheeran - Castle on the Hill,237360,36
Lauv - I Like Me Better,236390,37
Jax Jones - You Don't Know Me - Radio Edit,234469,38
Camila Cabello - Havana,230299,39
Niall Horan - Slow Hands,222678,40
Rita Ora - Your Song,216939,41
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),210888,42
Logic - 1-800-273-8255,210376,43
Bruno Mars - That's What I Like,209721,44
Post Malone - Congratulations,208533,45
Khalid - Location,206752,46
J Balvin - Mi Gente,200604,47
AJR - Weak,199254,48
Portugal. The Man - Feel It Still,196287,49
Halsey - Now Or Never,195305,50
DJ Khaled - Wild Thoughts,193533,51
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),191523,52
