Artist_and_Track_Name,Norway_Streams,Position
Ed Sheeran - Shape of You,31152940,1
Luis Fonsi - Despacito - Remix,30053768,2
Kygo - It Ain't Me (with Selena Gomez),24157944,3
Hkeem - Fy Faen,20722045,4
Burak Yeter - Tuesday,17334548,5
ItaloBrothers - Summer Air,17126528,6
Julia Michaels - Issues,16550770,7
Post Malone - rockstar,16025980,8
Clean Bandit - Symphony (feat. Zara Larsson),15894725,9
Martin Garrix - Scared to Be Lonely,15606347,10
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",15437940,11
The Chainsmokers - Something Just Like This,15195466,12
Cezinando - Håper du har plass,14463856,13
Axwell /\ Ingrosso - More Than You Know,14061763,14
Vidar Villa - One Night Stand,13614029,15
French Montana - Unforgettable,13520631,16
Luis Fonsi - Despacito (Featuring Daddy Yankee),13219094,17
Kygo - First Time,13189267,18
Marshmello - Silence,12861869,19
Imagine Dragons - Believer,12855891,20
DJ Khaled - I'm the One,12854604,21
Ed Sheeran - Galway Girl,12623316,22
Alan Walker - Alone,12580649,23
Astrid S - Such A Boy,12045425,24
Imagine Dragons - Thunder,12039798,25
Astrid S - Think Before I Talk,11946596,26
David Guetta - 2U (feat. Justin Bieber),11855989,27
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,11607449,28
Dua Lipa - New Rules,11553125,29
Charlie Puth - Attention,11538742,30
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),11511272,31
Ed Sheeran - Perfect,11213126,32
Future - Mask Off,11091138,33
Ed Sheeran - Castle on the Hill,11053999,34
"Alessia Cara - How Far I'll Go - From ""Moana""",11004737,35
Calvin Harris - Feels,10937592,36
Martin Jensen - Solo Dance,10909078,37
The Chainsmokers - Paris,10773226,38
AJR - Weak,10722625,39
ZAYN - Dusk Till Dawn - Radio Edit,10614355,40
Rag'n'Bone Man - Skin,10500553,41
Kendrick Lamar - HUMBLE.,10430524,42
OneRepublic - Rich Love (with Seeb),10420649,43
Kygo - Stargazing,10329001,44
Astrid S - Breathe,10312985,45
Jonas Blue - Mama,10280565,46
Jax Jones - You Don't Know Me - Radio Edit,10108653,47
Enrique Iglesias - SUBEME LA RADIO,9977201,48
The Weeknd - I Feel It Coming,9966030,49
Logic - 1-800-273-8255,9898463,50
Robin Schulz - OK,9876783,51
Avicii - Without You (feat. Sandro Cavazza),9848508,52
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),9806859,53
Alan Walker - Tired,9762062,54
Miley Cyrus - Malibu,9346729,55
James Arthur - Say You Won't Let Go,9336349,56
Macklemore - Glorious (feat. Skylar Grey),9335248,57
NF - Let You Down,9327614,58
DJ Khaled - Wild Thoughts,9107525,59
