,Artist_and_Track_Name,Billboard_Position,World_Position,US_Position,Germany_Position,Lithuania_Position,Norway_Position,France_Position
0,Luis Fonsi - Despacito - Remix,1,2,7,5,7,2,19
1,Ed Sheeran - Shape of You,2,1,4,1,1,1,1
2,Migos - Bad and Boujee (feat. Lil Uzi Vert),3,24,12,214,241,176,237
3,Kendrick Lamar - HUMBLE.,4,3,1,62,5,42,61
4,Bruno Mars - That's What I Like,5,11,13,150,44,129,161
5,Post Malone - Congratulations,6,6,3,81,45,93,251
6,Lil Uzi Vert - XO TOUR Llif3,7,4,2,71,31,72,103
7,Future - Mask Off,8,9,5,36,34,33,9
8,The Chainsmokers - Closer,9,28,39,87,104,130,275
9,DJ Khaled - I'm the One,10,8,14,30,26,21,57
