,Artist_and_Track_Name,Billboard_Position,ALL_Streams,US_Streams,Germany_Streams,Lithuania_Streams,Norway_Streams,France_Streams
0,Luis Fonsi - Despacito - Remix,1,436357471,235012075,50855083,391058,30053768,15970056
1,Ed Sheeran - Shape of You,2,672625163,282319891,97689020,904314,31152940,46245081
2,Migos - Bad and Boujee (feat. Lil Uzi Vert),3,238663204,211518962,8292474,18117,3279107,4508608
3,Kendrick Lamar - HUMBLE.,4,427988388,339677217,24646647,400471,10430524,11262132
4,Bruno Mars - That's What I Like,5,309636662,208416179,12108870,209721,4523747,6319410
5,Post Malone - Congratulations,6,345297028,285451131,19426345,208533,6515909,4315052
6,Lil Uzi Vert - XO TOUR Llif3,7,385291739,316206696,21237910,252127,7685338,8230607
7,Future - Mask Off,8,330301606,241828211,31069433,239174,11091138,18945509
8,The Chainsmokers - Closer,9,227380728,137009517,18787297,98748,4519701,3813910
9,DJ Khaled - I'm the One,10,330539999,206524898,33675139,262484,12854604,11453179
