Artist_and_Track_Name,France_Streams,Position
Ed Sheeran - Shape of You,46245081,1
Niska - Réseaux,32676109,2
Damso - Θ. Macarena,28999946,3
Kalash - Mwaka Moon,23675630,4
French Montana - Unforgettable,21290467,5
Damso - Ε. Signaler,20401928,6
Ninho - Mamacita,20215790,7
Luis Fonsi - Despacito (Featuring Daddy Yankee),19651111,8
Future - Mask Off,18945509,9
Starley - Call On Me - Ryan Riback Extended Remix,18127408,10
Niska - Salé,17878773,11
PNL - Bené,17802908,12
Petit Biscuit - Sunset Lover,17704768,13
Ofenbach - Be Mine,17035403,14
Damso - Γ. Mosaïque solitaire,16712786,15
PNL - Onizuka,16519713,16
Imagine Dragons - Believer,16109112,17
Lartiste - Chocolat (feat. Awa),16002995,18
Luis Fonsi - Despacito - Remix,15970056,19
Kygo - It Ain't Me (with Selena Gomez),15683558,20
The Weeknd - I Feel It Coming,15568641,21
Charlie Puth - Attention,15420216,22
Siboy - Mobali,15145512,23
Post Malone - rockstar,15097463,24
Damso - N. J Respect R,15013219,25
Imagine Dragons - Thunder,14854337,26
Calvin Harris - Feels,14830425,27
Macklemore - Glorious (feat. Skylar Grey),14700064,28
Camila Cabello - Havana,14670001,29
Niska - Tuba Life,14500522,30
PNL - Jusqu'au dernier gramme,14448924,31
Ninho - De l'autre côté (feat. Nekfeu),14141687,32
Benash - Ghetto,14002052,33
Nekfeu - Mauvaise graine,13783899,34
Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie),13734991,35
Hornet La Frappe - Gramme 2 peuf,13610835,36
Damso - Α. Nwaar Is The New Black,13437701,37
Niska - Chasse à l'homme,13324134,38
"ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",13123313,39
Hornet La Frappe - Je pense à toi,13118409,40
The Chainsmokers - Something Just Like This,13072191,41
Dadju - Reine,12882315,42
Orelsan - Basique,12857904,43
Damso - B. #QuedusaalVie,12703420,44
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign),12678410,45
Niska - B.O.C,12556759,46
Sofiane - Tout l'monde s'en fout,12454718,47
Jax Jones - You Don't Know Me - Radio Edit,12448201,48
Martin Garrix - Scared to Be Lonely,12405111,49
Niska - Medellín,12376867,50
DJ Khaled - Wild Thoughts,12302476,51
Zedd - Stay (with Alessia Cara),12137415,52
MHD - Afro Trap Pt. 7 (La puissance),12065007,53
Clean Bandit - Symphony (feat. Zara Larsson),11997716,54
Dosseh - Infréquentables,11825784,55
Rag'n'Bone Man - Human,11534775,56
DJ Khaled - I'm the One,11453179,57
Vianney - Je m'en vais,11404453,58
Kaaris - Tchoin,11299438,59
Axwell /\ Ingrosso - More Than You Know,11271573,60
Kendrick Lamar - HUMBLE.,11262132,61
Lorenzo - Fume à fond,11192631,62
Drake - One Dance,11179959,63
J Balvin - Mi Gente,11039430,64
Dua Lipa - New Rules,10893410,65
PNL - Naha,10864756,66
Shakira - Chantaje,10835963,67
Sadek - Madre mia (feat. Ninho),10756046,68
Shawn Mendes - There's Nothing Holdin' Me Back,10706650,69
Julia Michaels - Issues,10641327,70
Burak Yeter - Tuesday,10438998,71
Martin Solveig - All Stars,10423494,72
ZAYN - Dusk Till Dawn - Radio Edit,10382283,73
Dabs - Ouloulou,10341308,74
Jonas Blue - Mama,10233748,75
Ed Sheeran - Galway Girl,10176984,76
David Guetta - 2U (feat. Justin Bieber),10093185,77
Calvin Harris - Slide,9967581,78
Nekfeu - Saturne,9660447,79
Sofiane - Mon p'tit loup,9554706,80
Portugal. The Man - Feel It Still,9511735,81
Lacrim - Oh bah oui,9458397,82
Sean Paul - No Lie,9380379,83
Maggie Lindemann - Pretty Girl - Cheat Codes X CADE Remix,9361726,84
Bigflo & Oli - Dommage,9275346,85
Rag'n'Bone Man - Skin,9262576,86
Orelsan - Défaite de famille,9186679,87
"Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",9115840,88
Ødyssey - Fly (feat. Amara Abonta),9098950,89
Nekfeu - Squa,9097703,90
Maroon 5 - What Lovers Do (feat. SZA),9023874,91
Alonzo - Suis-moi,9015997,92
The Chainsmokers - It Won't Kill Ya,8976551,93
Ed Sheeran - Perfect,8877931,94
Niska - Story X,8828031,95
KeBlack - Bazardée,8723527,96
Kungs - I Feel So Bad,8721439,97
Ninho - Rose,8698519,98
MHD - Afro Trap Pt. 8 (Never),8646877,99
Damso - Ζ. Kietu,8554645,100
Loïc Nottet - Million Eyes,8313949,101
Alonzo - Papa allo,8281421,102
Lil Uzi Vert - XO TOUR Llif3,8230607,103
Kaleo - Way Down We Go,8222763,104
Orelsan - Tout va bien,8183753,105
Lacrim - Grande armée,8137320,106
Major Lazer - Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),8136251,107
Ninho - Elle m'a eu,8115775,108
Booba - DKR,8109125,109
Enrique Iglesias - SUBEME LA RADIO,8108298,110
Møme - Aloha,8103017,111
Booba - Nougat,8029200,112
P!nk - What About Us,7958798,113
Jul - Ma jolie,7906408,114
Drake - Passionfruit,7862090,115
Ofenbach - Katchi (Ofenbach vs. Nick Waterhouse),7851211,116
Lacrim - Ce soir ne sors pas,7816584,117
JP Cooper - September Song,7759884,118
Rim'K - Cellophané,7562082,119
DJ Snake - Let Me Love You,7524447,120
Robin Schulz - OK,7507510,121
Avicii - Lonely Together (feat. Rita Ora),7486045,122
Martin Garrix - There for You,7441974,123
James Arthur - Say You Won't Let Go,7431165,124
The Chainsmokers - Paris,7429798,125
Alok - Hear Me Now,7399711,126
PNL - DA,7377733,127
Lil Pump - Gucci Gang,7352808,128
Lacrim - Traîtres,7322059,129
Liam Payne - Strip That Down,7280024,130
Damso - Κ. Kin la belle,7245405,131
Calvin Harris - My Way,7218603,132
Twenty One Pilots - Ride,7153412,133
Martin Jensen - Solo Dance,7138576,134
Ed Sheeran - Castle on the Hill,7137098,135
NEIKED - Sexual,7103414,136
Katy Perry - Chained To The Rhythm,7006527,137
Ninho - Laisse pas traîner ton fils (feat. Sofiane),6949570,138
PNL - Dans la légende,6929268,139
Orelsan - La fête est finie,6915741,140
Ninho - Caramelo,6896017,141
Damso - Paris c'est loin,6895577,142
Orelsan - Notes pour trop tard (feat. Ibeyi),6861510,143
Sadek - Dans la lune,6790625,144
Damso - Δ. Dieu ne ment jamais,6783984,145
Orelsan - San,6777722,146
Ninho - Chino,6735430,147
Rita Ora - Your Song,6723194,148
Marshmello - Silence,6721118,149
Sadek - La vache,6702597,150
Aya Nakamura - Comportement,6700190,151
Booba - Friday,6621534,152
Kaaris - Boyz N The Hood,6607394,153
Logic - 1-800-273-8255,6604867,154
